"iddirec_barrio","nombre"
1,"CENTRO"
2,"CIUDAD NUEVA"
3,"SAN JOSE"
4,"PABLO ROJAS"
5,"SANTA ANA"
6,"OBRERO"
7,"DON BOSCO"
8,"LA BLANCA"
9,"SAN MIGUEL"
10,"PARANA COUNTRY CLUB"
11,"AREA 5"
12,"BOQUERON"
13,"FATIMA"
14,"AREA 4"
15,"SAN ANTONIO"
16,"SAN ISIDRO"
17,"REMANSITO"
18,"KM 8 LADO ACARAY"
19,"AREA 6"
20,"SAN ROQUE"
21,"SAN FRANCISCO"
22,"SAN RAFAEL"
23,"AREA 1"
24,"LAS AMERICAS"
25,"CHE LA REINA"
26,"SAN JUAN"
27,"SAN ALFREDO"
28,"KM 10 ACARAY"
29,"CATEDRAL"
30,"AREA 3"
31,"SAN LORENZO"
32,"SANTO DOMINGO"
33,"MCAL. LOPEZ"
34,"KM 9 LADO MONDAY"
35,"MARIA AUXILIADORA"
36,"KM 8 LADO MONDAY"
37,"SANTA ROSA"
38,"AREA 2"
39,"SAN SEBASTIAN"
40,"LAS MERCEDES"
41,"LAS CARMELITAS"
42,"KM 9 LADO ACARAY"
43,"PUERTA DEL SOL"
44,"VILLA BANCARIA"
45,"ÑASAINDY"
46,"VILLA ELVIRA"
47,"VILLA 23 DE OCTUBRE"
48,"CAACUPEMI"
49,"CAROLINA"
50,"SANTA TERESA"
51,"MBURUCUYA"
52,"SAN AGUSTIN"
53,"KM 12 LADO MONDAY"
54,"KM 12 ACARAY"
55,"AMAMBAY"
56,"SAN LUCAS"
57,"SANTO TOMAS"
58,"KM 14 LADO MONDAY"
59,"KM 11 ACARAY"
60,"KM 13 1/2 CONAVI"
61,"KM 13"
62,"KM 7 MONDAY"
63,"CERRO LARGO"
64,"JARDIN DEL ESTE"
65,"AREA 8"
66,"NUESTRA SEÑORA DE LA ASUNCION"
67,"CONAVI"
68,"SAN RAMON"
69,"JUAN PABLO II"
70,"KM 4 MONDAY"
71,"SAN CARLOS"
72,"29 DE SETIEMBRE"
73,"SAN PABLO"
74,"SAN JORGE"
75,"SAN VICENTE"
76,"LOS JAZMINES"
77,"FRACCION LAS MARIAS"
78,"SINUELO"
79,"SANTA MONICA"
80,"VILLA DEPORTIVA"
81,"NIÑO JESUS"
82,"TRIGALES"
83,"SAN BLAS"
84,"COLONIA YGUAZU"
85,"MINGA PORA"
86,"15 DE AGOSTO"
87,"PUERTO PARANAMBU"
88,"PADRE DAMIAN"
89,"KM 10 MONDAY"
90,"FRACCION LA ROTONDA"
91,"COLONIA JEPOPYHY"
92,"SAN VALENTIN"
93,"CURUPAYTY"
94,"1º DE MARZO"
95,"8 DE DICIEMBRE"
96,"VIRGEN DEL ROSARIO"
97,"FRACCION LOS ABUELOS"
98,"VALLE HERMOSO"
99,"VIRGEN DEL CARMEN"
100,"SANTA CLARA"
101,"VILLA PERALTA"
102,"VECINO UNIDO"
103,"RAUL ARSENIO OVIEDO"
104,"FRACCION MARIA ANGELA"
105,"FRACCION SAN CARLOS"
106,"SANTA FE"
107,"SAN CAYETANO"
108,"FRACCION LOS NARANJOS"
109,"CRUCE LIBERACION"
110,"PIRO`Y"
111,"COMPAÑIA CURUPAYTY"
112,"ÑSAINDY"
113,"FRACCION LOS GIRASOLES"
114,"LOS ALAMOS"
115,"LOS LAURELES"
116,"SIÑUELO"
117,"FELIX DE AZARA"
